case_number,source,prompt,evaluation_seed
000000356347,coco-30k,A blue pot of tomato sauce with a wooden ladle.,27657
000000223122,coco-30k,A white toilet sitting under a window near a sink.,18239
000000386164,coco-30k,A wooden ball on top of a wooden stick.,71948
000000090501,coco-30k,A wooden bench sitting in front of a white building.,74950
000000444926,coco-30k,A motorcycle parked on top of a tiled floor.,14299
000000484695,coco-30k,A roof with a white air conditioner on top of it.,73872
000000142129,coco-30k,A red four door car pulling into a parking space with a meter.,54216
000000211690,coco-30k,Two girls in a library seated at a table cutting large brown paper.,6508
000000167095,coco-30k,A teddy bear sitting on top of an arch.,89198
000000023879,coco-30k,A train traveling down train tracks near a city.,54626
000000274528,coco-30k,A blue truck with a large poster on it's side.,45125
000000515565,coco-30k,One of the oldest buildings in this town.,22365
000000187249,coco-30k,A TV with a man and a woman on it's display.,88079
000000185373,coco-30k,A row of parked motorcycles sitting along side of a street.,92178
000000136572,coco-30k,A couple of motorcycles parked next to each other.,60680
000000010115,coco-30k,A room filled with furniture and curtains on top of carpet.,23149
000000265628,coco-30k,A white toilet filled with urine next to a white wall.,11429
000000310611,coco-30k,A giraffe standing inside of a cage near a building.,98130
000000484651,coco-30k,A glass bowl filled with different kinds of fruits.,75992
000000044823,coco-30k,A man riding on the back of a horse near a plane.,2267
000000242673,coco-30k,A highway filled with lots of traffic next to buildings.,67708
000000204804,coco-30k,A bathroom with his and her sinks and mirrors.,19664
000000216664,coco-30k,A cat sitting on top of a white toilet in a bathroom.,86448
000000454642,coco-30k,Two people are riding motor scooters in a parking lot.,16364
000000215691,coco-30k,A small kitchen featuring an under the counter washing machine.,52868
000000457254,coco-30k,a man wearing a helmet sits on a motorcycle,28964
000000203661,coco-30k, Quaint kitchen with a wooden dining table ,45152
000000394009,coco-30k,A bathroom with a tub and toilet. ,58548
000000568690,coco-30k,A small cat sits perched on the back of a toilet.,25700
000000158708,coco-30k,A bike sitting next to a cup filled with coffee.,78994
000000257407,coco-30k,A wet road with lots of cars driving over it.,1404
000000524186,coco-30k,A big commercial plane flying in cloudy skies.,93670
000000327323,coco-30k,A white toilet sitting next to a white bath tub.,42762
000000517018,coco-30k,A kitchen with a clean sink and counter.,37409
000000164602,coco-30k,A man and a woman standing in front of a mirror.,57506
000000499402,coco-30k,A view from the window of a plane in the sky.,20089
000000294403,coco-30k,A woman under an umbrella on a rainy day ,13898
000000091334,coco-30k,A cat drinking from a white bowl of water.,26711
000000299077,coco-30k,"A bathroom showing sink, toilet, and shower ",72214
000000325078,coco-30k,A small bathroom is decorated in pretty colors.,89041
000000098493,coco-30k,Cars parked and driving in front of a school.,20292
000000050753,coco-30k,"A kitchen with an oven, stove , sink, microwave and refrigerator.",78470
000000284698,coco-30k,The image of a man holding a camera is in this motorcycle side mirror. ,39409
000000475566,coco-30k,"A bathroom showing sink, toilet and shower ",20385
000000421875,coco-30k,Modern espresso machine on counter in residential kitchen.,55282
000000370596,coco-30k,A very nice looking scooter and some bikes parked by the road.,59148
000000486501,coco-30k,Large adult cat lying in white sink in residential bathroom.,7670
000000264554,coco-30k,Commode near white shower curtain in residential bathroom setting.,10020
000000427118,coco-30k,Two skiiers kneeling in the snow by an orange flag.,96210
000000519838,coco-30k,A bicycle leaning up against a tree in a park.,86350
000000479126,coco-30k,Two women sitting outside hanging out and smoking cigarettes.,60774
000000450674,coco-30k,A pair of racing motorcycles coming to a start line.,88384
000000526364,coco-30k,"Sparse narrow kitchen, used, but neat, all in white.",29685
000000482590,coco-30k,A black and a white woman standing under an umbrella,52251
000000012323,coco-30k,A toilet and two rolls of toilet paper in a small room with ledge and window.,94373
000000495993,coco-30k,Several cars driving towards a public market. ,53655
000000242287,coco-30k,A bicycle that is resting upon the wall of a building.,15727
000000325343,coco-30k,A young man is skateboarding on a low wall.,49906
000000336937,coco-30k,A plethora of toilet bowls and urinals all in a row.,94393
000000571012,coco-30k,A woman in white jacket on skateboard in a building.,14225
000000564123,coco-30k,A large cathedral with a clock towards the top of it.,22079
000000541223,coco-30k,a glass building with a plane coming out of it ,65473
000000052132,coco-30k,A room with an older model television in it.,52553
000000058254,coco-30k,A remote controller hitting a signal on a television.,83124
000000528069,coco-30k,A distant view from high up in the sky in a window.,52899
000000458119,coco-30k,A very cute cat laying by a big bike.,4515
000000108548,coco-30k,Two toilets are in a restroom with a vanity with dual sinks.,45049
000000029430,coco-30k,a close up of a pot with a cell phone ,68528
000000352422,coco-30k,A very dingy and grime bathroom that's in someone's house. ,27781
000000107516,coco-30k,"This kitchen features dark colored cabinets, nice counter tops, and pendant lights.",90782
000000040109,coco-30k,Rows of gray and black keyboards make up several different pictures.,72536
000000493286,coco-30k,an old car in front of an old air plane,54180
000000169996,coco-30k,Men on bikes riding alongside a car on the street,8738
000000389255,coco-30k,A row of red and white umbrellas stand above tables in an outdoor eating area.,98656
000000207969,coco-30k,A man standing in a kitchen next to a woman.,87584
000000223874,coco-30k,A sidewalk filled with lots of pedestrian traffic near a traffic light.,31547
000000213475,coco-30k,A street scene in the evening with a lone car and traffic light showing red.,91286
000000294763,coco-30k,a close up of a toilet in a bath room,39156
000000353148,coco-30k,A group of men standing near parked motorcycles,18936
000000140501,coco-30k,A military jet with a bomb on the runway.,17989
000000220511,coco-30k,People fly kites and try other activities in a park.,23206
000000459342,coco-30k,A parking sign hanging from the side of a building.,13294
000000283216,coco-30k,A woman standing next to a red scooter near a shelf.,46150
000000357899,coco-30k,A commercial airplane at the gate being serviced,17498
000000441196,coco-30k,A man taking a selfie in a mirror,16788
000000078580,coco-30k,A large jetliner sitting on top of an airport tarmac.,92016
000000125707,coco-30k,A man preparing food in a restaurant kitchen. ,40812
000000020779,coco-30k,a person riding on a horse drawn carriage,30859
000000076588,coco-30k,A siamese cat laying on top of a white sink.,69471
000000514321,coco-30k,A large jetliner with a man sitting inside of a compartment.,72695
000000484760,coco-30k,A statue of the virgin Mary holding an orb of light.,29946
000000034760,coco-30k,A small and near bathroom that's inside someone's house.,60501
000000429174,coco-30k,A very tall building with a large tower and a clock on it's side.,38443
000000371005,coco-30k,A motorcycle parked in a parking next next to a car.,78681
000000163258,coco-30k,A white toilet sitting in a bathroom next to a wall.,33914
000000544272,coco-30k,A man wearing goggles and a helmet driving on a motorcycle.,24580
000000226417,coco-30k,Many people are driving motorcycles through an intersection.,59617
000000296859,coco-30k,A full view of a teddy bear sitting on the small chair. ,46513
000000092173,coco-30k,A black and white cat laying on top of a desk.,59290
000000239959,coco-30k,A white toilet sitting next to a walk in shower.,30465
000000084567,coco-30k,A statue sitting on top of an old stone hill.,60514
000000012238,coco-30k,Some cars are traveling on the streets on a cloudy day. ,309
000000249301,coco-30k,Two guys are riding a motorcycle down the street.,5336
000000381792,coco-30k,A bath tub sitting next to a white toilet.,91482
000000436848,coco-30k,A black and white of a small bathroom.,77272
000000272694,coco-30k,A wooden table topped with a  banana and a muffin.,5929
000000315790,coco-30k,a room with a computer monitor and a black cat on a chair,85997
000000305472,coco-30k,A very tall building has a clock on the front of it.,3735
000000574241,coco-30k,A couple of kitten drinking water from a bowl.,80065
000000434689,coco-30k,A young man holding a skateboard while wearing head phones.,72989
000000575978,coco-30k,"A white sink with a duck, booth paste and necklace on top of it.",52704
000000163518,coco-30k,A woman standing in front of a table with lots of salad.,64983
000000098054,coco-30k,"A plate with chicken,carrots and mashed potatoes with silverware.",50251
000000282145,coco-30k,A man riding on the back of a motorcycle with a boy on it's side car.,62488
000000343506,coco-30k,a urinal with tiled wall and two pictures of clowns smiling,26820
000000225731,coco-30k,a green motorcycle parked and resting next to another vehicle inside a parking lot,18483
000000472046,coco-30k,"A kitchen with a stove, sink, table, chairs and couches.",50866
000000107105,coco-30k,"A white motorcycle is next to a store front that says ""Macau welcomes you"".",54519
000000546264,coco-30k,An orange cat laying on the seat of a motorcycle,44353
000000435005,coco-30k,a room showing a toilet and a bathtub,35148
000000377809,coco-30k,people with their head covered on a motorbike,29362
000000342817,coco-30k,a orange colored cat peering down on some unknown object,71966
000000097240,coco-30k,A stove top oven sitting next to a tiled wall.,1447
000000386514,coco-30k,A group of motor scooters parked in front of a building.,27442
000000463836,coco-30k,A man looking down with a backpack on in a house.,33585
000000024396,coco-30k,"On a small stage, a stylish motorcycle sits on display.",5641
000000214042,coco-30k,A pile of toilet paper sitting on top of a toilet.,47180
000000109231,coco-30k,A man in a red shirt standing next to an airplane.,77946
000000065270,coco-30k,THERE IS A TOILET THAT IS DECORATED ,84800
000000531044,coco-30k,A giraffe standing near trees most with green leaves and one dead. ,9174
000000204906,coco-30k,Two men riding motorcycles down a curvy road.,46549
000000190756,coco-30k,A man flying through the air while riding a bike.,51844
000000237984,coco-30k,A green bench sitting on the side of a sidewalk.,39534
000000386585,coco-30k,A very large get liner flying in the sky.,65535
000000564657,coco-30k,A bathroom with four urinals and a drain on the floor. ,84889
000000184703,coco-30k,A man walking down a street holding an umbrella.,81440
000000045016,coco-30k,A white toilet sitting on top of a bathroom floor.,64337
000000207179,coco-30k,A lot of motorcycles parked next to each other.,4635
000000161506,coco-30k,A kitchen with wooden walls and cabinets with lighting.,31007
000000465129,coco-30k,A person adjusting a  metal object hanging from a ceiling.,25956
000000548223,coco-30k,A woman taking a selfie while brushing her teeth with a tooth brush.,39795
000000490711,coco-30k,A white refrigerator freezer sitting inside of a kitchen.,32792
000000219492,coco-30k,THERE IS AN ADULT CAT THAT IS LYING DOWN IN THE SINK ,38732
000000423123,coco-30k,A woman bending over and looking inside of a mini fridge.,52688
000000343561,coco-30k,there are many bike riders racing in a street race,53249
000000259049,coco-30k,a bus traveling down the street next to  tree lined sidewalk,13688
000000565776,coco-30k,A kitchen with a center white island topped with a bowl of greens.,41898
000000251140,coco-30k,A book about understanding and maintaining a ten-speed bicycle.,25906
000000235595,coco-30k,THERE ARE MOTOR BIKES THAT ARE PARKED ON THE STREET,4287
000000375823,coco-30k,There are several people riding mopeds and motorcycles traveling down the street.,82093
000000392659,coco-30k,A lady on a very pretty decorated bike with a cute dog.,83105
000000173401,coco-30k,THERE ARE TWO COWS THAT ARE WALKING IN THE GRASS,92731
000000301135,coco-30k,Many people are sitting on two benches next to a light pole.,852
000000363927,coco-30k,A passenger bus is riding down a highway. ,91027
000000557923,coco-30k,two people riding bicycles next to each other in a parking lot ,37455
000000539075,coco-30k,A motorcycle parked next to each other near people..,44140
000000400728,coco-30k,A city street with stores across the street and a bicycle parked on the side of the street with a dog sitting in the front basket.,81249
000000426166,coco-30k,A light blue bicycle chained to a pole on the sidewalk in front of a red building.,88748
000000512476,coco-30k,a double sink with a bowl of food on the sink counter top,55235
000000144809,coco-30k,"A bathroom with white painted walls and white fixtures, including a toilet with the seat raised up.",224
000000041128,coco-30k,A parade on a street with several officers on motorcycles riding while confetti falls from the sky on them.,16380
000000355040,coco-30k,a group of motorcycles next to each other in front of an advertisement,72360
000000061316,coco-30k,a kitchen with a nasty dirty kitchen with a light beam through the window,4026
000000128644,coco-30k,A small plan is parked half on a cement area and half in a field while the ground is wet.,48738
000000445812,coco-30k,This bathroom has a toilet that sits back in a small niche and a shower with sliding glass doors.,85592
000000017409,coco-30k,A place mat is displaying an ornate glass along with a bottle of liquor.,63152
000000512495,coco-30k,A bright white enamel bathroom with a checked floor.,32097
000000403385,coco-30k,A bathroom that has a broken wall in the shower.,47145
000000002495,coco-30k,A full view of a dirty bathroom with no toilet available. ,93765
000000241645,coco-30k,A black stove top oven sitting in a kitchen.,72656
000000194594,coco-30k,a couple of cats sit in front of a tub full of water ,45289
000000315705,coco-30k,A man wearing a green shirt on top of a tennis court.,42528
000000318523,coco-30k,A display in a doughnut shop filled with doughnuts.,81018
000000212646,coco-30k,A white stove top oven sitting inside of a kitchen.,61918
000000292005,coco-30k,a bathroom with a tub and a shower curtain ,11308
000000314177,coco-30k,a person taking a photo in a bath room mirror,94951
000000248381,coco-30k,A white kitten standing in front of a water bowl.,15406
000000518262,coco-30k,a small dog and a big dog both on leashes,31303
000000037367,coco-30k,A laptop that is sitting on a table.,96205
000000353748,coco-30k,A man riding a bike past a white delivery truck.,26543
000000455597,coco-30k,a person in a kitchen with a stove some pots and pans,42443
000000287186,coco-30k,A white bus parked in front of a  building.,89313
000000011887,coco-30k,A motorcycle with a trailer parked in a spot,71059
000000143221,coco-30k,An elephant walking across a lush grass covered field.,67744
000000288161,coco-30k,a kitchen with an electonic device above the sink ,57284
000000316342,coco-30k,A clean kitchen with a wall that has a blackboard,31290
000000561100,coco-30k,A small blue plane sitting on top of a field.,16112
000000495311,coco-30k,A small jet plane getting ready to be fueled at the airport.,65824
000000091236,coco-30k,A group of jets flying overhead in tight formation.,90199
000000076257,coco-30k,a man on a motorcycle driving down a track ,11012
000000017741,coco-30k,Three horse drawn carriages in front of a huge house with a clock on it. ,25533
000000328661,coco-30k,A man flying a fan plane neck to flock of ducks.,81854
000000032907,coco-30k,a toilet on the ground outdoors in front of a house,12422
000000553072,coco-30k,A fleet of red and blue planes with a Canadien logo.,45585
000000091617,coco-30k,a desk with a monitor and keyboard and mouse,34696
000000021452,coco-30k,A car parked on a lush green field.,35953
000000232931,coco-30k,A room with lots of seats next to an entrance.,80896
000000449945,coco-30k,a bathroom counter with two sinks on it ,80913
000000272673,coco-30k,A bathroom with a marble counter top under a  mirror.,85045
000000037181,coco-30k,A motorcycle parked next to a  car in a  parking lot.,92013
000000287829,coco-30k,A red bathroom mirror sitting next to a white toilet.,10253
000000094536,coco-30k,A cat that is by a bicycle wheel.,39128
000000372894,coco-30k,A room filled with a row of brown toilets,43656
000000259640,coco-30k,people walking around a tamale truck and a building ,30446
000000283495,coco-30k,A large jetliner flying under a cloud filled sky.,60441
000000147386,coco-30k,a man sitting on a red and black motorcycle,91171
000000432421,coco-30k,A blurry picture of someone on a bike.,50325
000000258021,coco-30k,A person with a moped is waiting for the rain to stop.,8292
000000101913,coco-30k,Three people are sitting on a bench in front of a train.,94611
000000485390,coco-30k,A herd of sheep grazing in a pasture.,90072
000000507037,coco-30k,a gathering outside on the lawn of city hall,75092
000000192554,coco-30k,"A sink, soap, toilet and a mirror ",2261
000000341017,coco-30k,A boy sitting on top of a truck with a bunch of goats. ,65104
000000364783,coco-30k,A white toilet sitting next to a sink near a red wall.,92793
000000513073,coco-30k,A person's feet are shown in front of a small tv.,8682
000000512796,coco-30k,A side view mirror hanging off the side of a door.,40278
000000449708,coco-30k,A laptop computer is propped up on a cluttered desk.,51510
000000544522,coco-30k,A man in a red shirt touches a faucet in a rustic building.,74855
000000562232,coco-30k,Three people standing around a brown horse with a white stripe on his face. ,14675
000000189997,coco-30k,a bedroom with a cluttered desk and a messy bed ,11663
000000287559,coco-30k,The wing of a plane located in the sky above a sea and city.,47676
000000389624,coco-30k,a kitchen with white counter tops and cabinets.,44525
000000538231,coco-30k,A wall mounted oven inside of a kitchen with a large entrance.,17846
000000075095,coco-30k,A wooden park bench siting next to a  park.,63645
000000425035,coco-30k,a toilet seat in a bathroom with the lid down.,52370
000000414578,coco-30k,a man taking a nap on the bench in the middle of a park,20806
000000512166,coco-30k,A woman putting items into a brown paper bag.,29928
000000006608,coco-30k,A room with two desk covered in computer equipment.,38680
000000441522,coco-30k,A group of people standing around a kitchen preparing food.,58865
000000171413,coco-30k,A cluttered bathroom with a toilet and sink.,49645
000000203345,coco-30k,A couple of people standing next to a food cart filled with smoke.,39447
000000577564,coco-30k,A white toilet sitting next to a white sink.,85874
000000233311,coco-30k,A bowl of oranges sitting on top of a wooden table.,94859
000000354724,coco-30k,A street filled with lots of traffic next to white homes.,15026
000000206958,coco-30k,a room showing a toilet and a sink,52599
000000262093,coco-30k,A counter filled with lots of clutter in a  kitchen.,50752
000000544365,coco-30k,a living room with a tv on top of a stand with a guitars sitting next to ,88326
000000087567,coco-30k,A kitchen table is lined with cooking materials. ,74427
000000390671,coco-30k,Many plates and dishes line a kitchen cabinet. ,58864
000000038929,coco-30k,A large jet sitting on top of an airport tarmac.,97912
000000067765,coco-30k,Several adults engaged in arts and crafts with children.,96538
000000086135,coco-30k,A bike with tanks on it sitting next to cars.,68601
000000411184,coco-30k,A very large bridge spanning over the width of a river.,57263
000000061471,coco-30k,Puppy chewing on toilet paper in the bathroom. ,81484
000000012551,coco-30k,A group of three bath tubs sitting next to each other.,25361
000000092115,coco-30k,A train sitting next to a platform in a tunnel.,82452
000000450182,coco-30k,A man riding a motorcycle down a street next to a train car.,41611
000000482432,coco-30k,A sink with a tooth brush and some other items.,2746
000000298440,coco-30k,A large jetliner flying through a blue sky with two engines.,74955
000000193021,coco-30k,A hall way with family photos on the wall leading to a kitchen and dining area with wood floors.,23749
000000345507,coco-30k,A large amount of motorcycles are parked by a sidewalk.,30868
000000308466,coco-30k,"A bathroom containing a toilet, sink and bathtub with shower, with no accessories.",79241
000000518850,coco-30k,A motor cycle rider riding on a street with bikes parked on either sides,11624
000000289992,coco-30k,"A plain, white bathroom with a sink and a tub.",85521
000000162257,coco-30k,A small plane that can land and take off from water.,83901
000000388528,coco-30k,A toilet with the seat open sitting in a bathroom. ,34621
000000514913,coco-30k,A motorcycle parked on the side of the road. ,17601
000000085390,coco-30k,A man taking his picture in the reflection of a microwave.,21804
000000059532,coco-30k,mopeds parked in a parking garage with a green floor.,17706
000000071239,coco-30k,A motorcycle sits in a graveled area with a steep hill in the background.,90535
000000097857,coco-30k,A busy street with lots of car traffic.,30472
000000493610,coco-30k,A large group of people crammed into and on top of a truck.,48931
000000241466,coco-30k,Decorated elephant statue near many bicycles in racks.,92003
000000028506,coco-30k,A kitchen with many pots and pans hanging on the wall ,38010
000000394659,coco-30k,"A kitchen is displayed, showing wooden cabinets and a blue tiled counter top.",46521
000000478858,coco-30k,A bicycle chained to a pole in the city ,85924
000000272416,coco-30k,"An old toilet in a bathroom with extended plumbing 
",55512
000000428754,coco-30k,A person bending over by the side of a parked car.,77877
000000336113,coco-30k,"A bathroom with a toilet, window and tape on the floor.",50694
000000032760,coco-30k,A man on a bike looking at a line of semi-trucks in the street. ,31217
000000369594,coco-30k,The small kitchen has a black counter and wooden cabinets.,20574
000000530741,coco-30k,"This white bowl has rice, broccoli, and fish in it.",11740
000000275279,coco-30k,This bathroom features a marble top vanity with double sinks.,98200
000000354098,coco-30k,This toilet has a lot of wadded up tissue paper in it.,4382
000000578813,coco-30k,A person with a backpack riding a snowboard down a mountain side.,43763
000000315948,coco-30k,The small bathroom has an old bathtub in it.,18714
000000435745,coco-30k,A shop that has many bikes of all kinds. ,96341
000000028675,coco-30k,the bike is coming down the street with his lights on,62841
000000189772,coco-30k,the Bike is parked next to a fence,48495
000000495183,coco-30k,a girl is riding her bike down the street,84488
000000190115,coco-30k,the man is sitting with a salad in front of him and smiling. ,53567
000000095569,coco-30k,the wall is green and there is a pot on the stove,51093
000000567053,coco-30k,a plane is parked on a asphalt ready to fly,93334
000000189376,coco-30k,a room filled desks and computers a man and woman sitting listening and anther man with a camera,65870
000000246106,coco-30k,A woman is unloading a bag in a large kitchen.,70249
000000340004,coco-30k,The cat is sitting beneath a motor bike.,72305
000000163585,coco-30k,The bench on the side of the street is empty. ,74251
000000175310,coco-30k,A large bathroom has white walls and cabinets and blue wall tiles and countertops.,78881
000000041872,coco-30k,A bedroom with built in television and open fireplace,89268
000000209468,coco-30k,A woman in pajamas using her laptop on the stove top in the kitchen,85043
000000192529,coco-30k,A bus stop and bench  on a street corner.,3946
000000257053,coco-30k,A blue cake with yellow stars around it.,11011
000000475043,coco-30k,A woman taking a sip of a beer by people with laptops.,62157
000000003845,coco-30k,a chicken meal with carrots broccoli and rice,87343
000000159233,coco-30k,Man taking a photograph of a black and silver motorcycle. ,97437
000000019608,coco-30k,a man riding a red bicycle watching a bird in the water,97844
000000178939,coco-30k,The big dog is laid out in the hallway,63112
000000531499,coco-30k,a big empty kitchen with only a refrigerator stove and a sink,11194
000000278550,coco-30k,a dog rests in a basket on a bike ,94585
000000432038,coco-30k,A dog is chasing after three running sheep.,70048
000000078313,coco-30k,The shelves above the cabinet have porcelain dishes on them.,73839
000000231582,coco-30k,An airplane in the water a short distance from a rocky shore.,96815
000000245750,coco-30k,A couple of animals that are near the rocks.,39329
000000272153,coco-30k,a dog walking beside a man carrying a surf board,40432
000000354533,coco-30k,A motorcycle sits parked across from a herd of livestock.,5672
000000337969,coco-30k,"A toilet, sink, mirror, and tub in a bathroom.",4921
000000301724,coco-30k,A wagon with a pink umbrella sitting in front of a store.,40796
000000406647,coco-30k,A motorcycle is parked amongst the cars at a store.,80363
000000373988,coco-30k,A crowd of people standing outside of a hotel on snow covered ground.,60154
000000134715,coco-30k,A large mirror above a sink in a bathroom.,90585
000000427239,coco-30k,There's a kitchen with toaster sitting on the counter between the oven and stove,67119
000000352761,coco-30k,An old man smiling while sitting on a bench.,34805
000000281019,coco-30k,a room showing a toilet and a sink,7340
000000089999,coco-30k,a car moving on the street an ad bike parked outside,35729
000000070434,coco-30k,"The bathroom has a sink, toilet, and glass shower.",86094
000000310071,coco-30k,a man walking with an umbrella in the sunshine,25588
000000295809,coco-30k,Street sign painted on a road that looks like a bicycle. ,4118
000000370697,coco-30k,A clean sink is in the middle of the counter.  ,79689
000000350623,coco-30k,A view of a kitchen from behind a dining table.,27655
000000047632,coco-30k,A broken bathroom with a white sink and toilet.,77486
000000565374,coco-30k,An old man sitting down playing an accordion next to parked bikes. ,90551
000000061782,coco-30k,A walk in a shower sitting next to a sink under a mirror.,97510
000000569249,coco-30k,A black cat is sitting on the bench and turning back its head. ,83469
000000110683,coco-30k,Two big giraffes walking in a grassy area with a baby giraffe. ,37270
000000418226,coco-30k,A row of wall mounted urinals under aquariums.,58999
000000133195,coco-30k,a very tall building with a city clock on it,1565
000000411943,coco-30k,a toilet sitting in a tile covered floor in a single room,95056
000000386279,coco-30k,"A yellow bench by a mosaic brick road with an adult standing and bending over a bicycle, with cars, a tree and a building in background.",64792
000000541493,coco-30k,A white sink under a mirror in a bathroom next to a light switch.,8864
000000294247,coco-30k,A passenger jet in flight in a clear blue sky. ,84994
000000196742,coco-30k,A man holding a microphone while sitting down.,84365
000000460507,coco-30k,A plate topped with a cut in half sandwich and a bowl of soup,98413
000000400803,coco-30k,A man standing on top of an orange boat on a river.,86856
000000047121,coco-30k,A cat standing on the edge of a sink drink water.,27050
000000043613,coco-30k,A man riding on the back of a green motorcycle.,62477
000000092051,coco-30k,A bathroom with a white toilet sitting under a window.,89647
000000162763,coco-30k,A bike parked on top of a cement floor.,54773
000000064474,coco-30k,a man in the kitchen trying to draw water with a  pipe,74429
000000288769,coco-30k, many tables arranged outside at the shop,16610
000000237118,coco-30k,A middle aged man takes a selfie in a mirror.,40647
000000421822,coco-30k,A giraffe standing on top of a dirt field near trees.,68964
000000518605,coco-30k,Giraffes and zebras graze in a field with trees. ,20646
000000317410,coco-30k,A couple of women standing in the back of a car with an open trunk.,41710
000000251901,coco-30k,A person hiking up the side of a snow covered hillside.,40263
000000386786,coco-30k,A white toilet sitting under a bathroom sink.,43094
000000304389,coco-30k,"A bathroom depicting a vanity, window and a toilet.",60894
000000147418,coco-30k,Two plane flying over a sea and island,86404
000000458424,coco-30k,A dog  seated on a car parked near the road,82598
000000375440,coco-30k,A number of benches at the beach and a boat in the sea,31080
000000409119,coco-30k,A large plane with people alighting at the airport,57450
000000181446,coco-30k,A man scowling while looking in a refrigerator ,7304
000000023666,coco-30k,A toilet and bathtub in a dark room with abnormal plumbing.,81537
000000224802,coco-30k,Three British Airways jets lined up at a terminal.,22386
000000129587,coco-30k,a large elephant that is standing up eating,66332
000000203669,coco-30k,A man throwing a frisbee in a park ,48605
000000254540,coco-30k,A van has an open back door on the sidewalk.,16729
000000065604,coco-30k,A painting of a zebra on a concrete wall.,91018
000000575817,coco-30k,"A toilet that is covered in some filth, and some filth on the ground.",34658
000000085913,coco-30k,A blue motorcycle parked on the side of a road.,12773
000000216863,coco-30k,A group of skateboarders on top of a ramp.,18528
000000392928,coco-30k,A bathroom door is opened by a toilet.,13071
000000511111,coco-30k,A glass of Orange juice next to a juicer,96185
000000458992,coco-30k,a woman poses in front of a giant pizza,7162
000000183620,coco-30k,A woman with a bat hitting televisions that say Comcast Doesnt Care.,66215
000000007386,coco-30k,a small motor bike outside of the garage,34804
000000141197,coco-30k,a woman is standing in a room taking a picture of herslf,89631
000000218853,coco-30k,a large silver plane is put on display at a museum,17496
000000109826,coco-30k,A very nice looking rest room with a nice tub.,13559
000000346965,coco-30k,A man in a black shirt holding a dog with its hand in the air.,69334
000000268539,coco-30k,a man on a skate board jumps over a motor bike,73033
000000239194,coco-30k,A group of zebras next to each other with two giraffes in the distance.,745
000000257270,coco-30k,A motorcycle with long rails hanging from it.,88910
000000353510,coco-30k,A couple of older folks standing in a kitchen.,64047
000000532129,coco-30k,A cheese pizza sitting on top of white paper and a large plate. ,835
000000019484,coco-30k,A metal sink with a cupboard of knives sitting on it. ,87881
000000116255,coco-30k,A plane is flying through a clear sky,32141
000000148614,coco-30k,"A photograph is against a wall near a door, a plant, and a clock.",97599
000000363830,coco-30k,A big bathroom with a couch a bathtub in the middle of the room. ,51390
000000091615,coco-30k,A very clean kitchen has stainless steel appliances.,42107
000000555687,coco-30k,There is a small lamb poses on the bike.,94439
000000090255,coco-30k,An old lady smiling in a pink kitchen.,69865
000000418535,coco-30k,A man wearing a suit and tie and carrying something walkling down the street.,57935
000000457078,coco-30k,A room with a desktop computer and a picture of a mummy. ,9178
000000295765,coco-30k,An airplane flying through the air on a clear day.,82651
000000399164,coco-30k,A computer desk with a desktop and laptop computer. ,51910
000000078537,coco-30k,a large plane is coming in to land near a big balloon man,99810
000000380854,coco-30k,A bathroom is shown with white decor and brown cabinets.,16082
000000365866,coco-30k,A toilet and container in a small room.,62234
000000036196,coco-30k,A airplane moving on the run way of a air port. ,7589
000000370207,coco-30k,A newly married couple eating cake with each other.,11351
000000118544,coco-30k,A man is looking at his laptop screen reading live posts.,26389
000000137763,coco-30k,A long marble sink in a public restroom,983
000000408449,coco-30k,The man is walking down the street with no shirt on.,24190
000000312951,coco-30k,A brick and stone gothic-style tower with church steeple rises behind a modern glass building.,13546
000000573924,coco-30k,You can see a blue towel hanging in the mirror.,42154
000000321886,coco-30k,A group of people riding on bikes down a street.,13648
000000483348,coco-30k,A bathroom stall that is made of wood.,55014
000000002164,coco-30k,Lots of sheep graze on a grass field.,14956
000000254750,coco-30k,"A bathroom that has a sink, toilet and mirror.",69779
000000331753,coco-30k,A bunch of toilets sit on display with green tags.,73810
000000366831,coco-30k,A bench that is sitting on a cobblestone sidewalk.,67978
000000107340,coco-30k,A bathroom sink sitting under a large mirror.,83089
000000510230,coco-30k,a street sign with a stop sign below it ,40121
000000506310,coco-30k,A room with an empty and open refrigerator and a shelf of bottles.,9724
000000385962,coco-30k,A toilet and bidet have toilet paper stacked between them.,79874
000000240175,coco-30k,A white bath tub sitting next to a sink in a bathroom.,13057
000000182450,coco-30k,A toilet sitting next to a white sink under a mirror.,78167
000000303413,coco-30k,A woman standing in front of a bathroom mirror.,32027
000000315491,coco-30k,A city street with a traffic light and street signs in front of a stone building.,97767
000000117759,coco-30k,A woman is seen in the mirror drying her hair.,30371
000000349689,coco-30k,about twenty people riding bicycles through a town area,58206
000000416271,coco-30k,A jetliner sitting on top of an airport tarmac.,26940
000000020307,coco-30k,A bicycle sitting beside a black door and steps.,92335
000000326781,coco-30k,A white toilet and a sink in a room.,64105
000000258382,coco-30k,a woman walking down the road while holding onto some bags and  an umbrella ,77068
000000267300,coco-30k,a dog laying down licking food off of a plate,34258
000000161720,coco-30k,The bathroom is in the middle of a renovation project.,9129
000000055727,coco-30k,A bathroom with a white toilet next to a walk in shower.,46940
000000037017,coco-30k,A large black dog sitting in a room.,21788
000000541345,coco-30k,A kitchen with a stove top oven and blue walls.,38006
